nsample pid coretype expid event pmc0 pmc1 pmc2 pmc3 pmc4
331 2395 0 0 tick 1870210533 2009303024 2009147070 1870210533 518748913
332 2395 0 1 tick 1873687522 2009324382 - 0 -
333 2395 0 0 tick 1866460972 2009030347 2009095578 1866460972 517696330
334 2395 0 1 tick 1878522886 2009516906 - 0 -
335 2395 0 0 tick 1871841906 2008901299 2008962990 1871841906 519393748
336 2395 0 1 tick 1860611083 1991916982 - 0 -
337 2395 0 0 tick 1876606422 2010009269 2010050754 1876606422 520388349
338 2395 0 1 tick 1876991696 2009511993 - 0 -
339 2395 0 0 tick 1875492403 2009912534 2009914812 1875492403 520382422
340 2395 0 1 tick 1879637194 2010002747 - 0 -
341 2395 0 0 tick 1876416936 2009760618 2009763684 1876416936 520678273
342 2395 0 1 tick 1851954536 1986041642 - 0 -
343 2395 0 0 tick 1875531652 2009580486 2009685684 1875531652 520351180
344 2395 0 1 tick 1864008392 1994032208 - 0 -
345 2395 0 0 tick 1877312848 2010013029 2009956350 1877312848 520918248
346 2395 0 1 tick 1879415244 2010245524 - 0 -
347 2395 0 0 tick 1874422248 2009513905 2009539458 1874422248 519881212
348 2395 0 1 tick 1861655359 1993346337 - 0 -
349 2395 0 0 tick 1854075017 1985738058 1985696460 1854075017 514507506
350 2395 0 1 tick 1878455250 2009221902 - 0 -
351 2395 0 0 tick 1880412129 2009236237 2009251800 1880412129 521390075
352 2395 0 1 tick 1877477896 2009534715 - 0 -
353 2395 0 0 tick 1872455370 2009318773 2009144976 1872455370 519921483
354 2395 0 1 tick 1870005450 2009199423 - 0 -
355 2395 0 0 tick 1870236261 2002140726 2009225694 1870236261 519022945
356 2395 0 1 tick 1873114027 2003173013 - 0 -
357 2395 0 0 tick 1872918311 2009648937 2009688408 1872918311 519622727
358 2395 0 1 tick 1875456741 2010230415 - 0 -
359 2395 0 0 tick 1825685388 2008045855 2007691614 1825685388 507033227
360 2395 0 1 tick 1688961339 2009670568 - 0 -
361 2395 0 0 tick 1694241917 2009120040 2009032992 1694241917 455864167
362 2395 0 1 tick 1694372528 2009349818 - 0 -
363 2395 0 0 tick 1684734725 2009340440 2008951554 1684734725 454203517
364 2395 0 1 tick 1695612216 2009590494 - 0 -
365 2395 0 0 tick 1675517256 1984717523 1992767094 1675517256 451045370
366 2395 0 1 tick 1697799486 2009803903 - 0 -
367 2395 0 0 tick 1678372301 1993478818 1993487556 1678372301 452235901
368 2395 0 1 tick 1694304800 2009128247 - 0 -
369 2395 0 0 tick 1697216785 2009700245 2009721090 1697216785 456899533
370 2395 0 1 tick 1688512442 2001620623 - 0 -
371 2395 0 0 tick 1686524740 1993347705 1993151130 1686524740 453920347
372 2395 0 1 tick 1694990970 2010124136 - 0 -
373 2395 0 0 tick 1698291107 2009834947 2009866452 1698291107 457173498
374 2395 0 1 tick 1681982283 1990679314 - 0 -
375 2395 0 0 tick 1692730348 2009765065 2009720640 1692730348 455867450
376 2395 0 1 tick 1690465905 2010143438 - 0 -
377 2395 0 0 tick 1692637361 2009339740 2008960290 1692637361 455865149
378 2395 0 1 tick 1697129169 2009574986 - 0 -
379 2395 0 0 tick 1698890133 2007532579 2009730690 1698890133 457401716
380 2395 0 1 tick 1691492052 2009459627 - 0 -
