,index,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9
80,80,2010741830.0,2010758478.0,2010726733.0,2011231359,2011011306,2010590553.0,2010983636,2010512026,2011022704,2011069313
81,81,2010988531.0,2011207437.0,2011021669.0,2011232191,2011095602,1994466505.0,2010064516,2009485264,2010704388,2011117406
82,82,2009233366.0,2011091859.0,2010765037.0,2011031390,2010851740,2002621146.0,2010943695,2011073020,2003056199,2011015649
83,83,1998189027.0,1990633186.0,1998048850.0,1981756697,1967775661,1973897168.0,1998392987,1997890541,1968114424,1966687318
84,84,2002652692.0,1983788372.0,2002524468.0,2002671282,1998971484,2002492080.0,2002513795,1996352547,1984119637,2002248477
85,85,1984436063.0,2011177544.0,2010361282.0,2010133348,2011043961,2010376420.0,2010822234,2011098771,2011237127,2010772572
86,86,2010513387.0,2010906367.0,2010577743.0,1993766248,2011112733,2010078955.0,2010689649,2011112939,2010897595,2009890114
87,87,2010766057.0,2011229289.0,2010703087.0,2004632562,2011031195,2010991304.0,1995147161,2002862271,1994667599,2010907532
88,88,2010060684.0,2010936556.0,2011002595.0,2010317897,2010932255,2010626102.0,2010646909,2011034575,1995089229,2010449656
89,89,2011038139.0,2010190432.0,2010353320.0,2011151654,2010914230,2010551898.0,2010834042,2011000694,2010511722,2011021987
90,90,2010551394.0,2011087097.0,2010461834.0,2011241553,2011068383,2010998109.0,2010982425,2010996137,2010991906,2011029207
91,91,1994300777.0,2011076467.0,2010876951.0,2010304733,2010966896,2010458116.0,2010865955,2010350688,2010689899,2011040513
92,92,2010551667.0,1994643430.0,1994563093.0,2010685286,2011098281,2011033243.0,2010905147,2010885413,2011121664,2010380160
93,93,2010377906.0,2011056144.0,1988016850.0,1992436578,2011093675,2011086490.0,2010800156,2010908142,2010813722,1994390225
94,94,1987078233.0,2011104800.0,1994759044.0,2011046741,2008995429,2010929926.0,2011172659,2010982290,2009038189,2010576608
95,95,1973356324.0,1951183872.0,1973585078.0,1957884771,1970260325,1968110232.0,1965390928,1963041944,1971145014,1960895066
96,96,2001243444.0,2002550873.0,2001698097.0,2002790184,2002957177,2002264408.0,2002058774,2002638246,2004478897,2002038232
97,97,2010994404.0,2010843494.0,2010648054.0,2010978809,1986607055,2010939599.0,2011002844,2011029878,2010400786,2010564725
98,98,1994910868.0,2010800705.0,1992637926.0,2010978689,2010977043,2011028630.0,2010788542,2010835650,2011082410,2010743216
99,99,2010885277.0,2010682619.0,2010867376.0,2011212768,2011245789,2011003907.0,2010985738,2011041048,2011126986,2010704928
100,100,1995032751.0,2011007011.0,2011178251.0,2010884454,1988938071,1986926088.0,2011184743,2010978883,2010247933,2010959420
101,101,2011091325.0,2010765067.0,2010925963.0,2010919045,2010943816,2010829841.0,2010745496,2010914194,2010907782,2010120878
102,102,2010979140.0,2010741382.0,2011104313.0,1992988647,2011149827,2010714616.0,2011025751,1994803418,2010995677,2010676420
103,103,2010304887.0,2010979593.0,2011002129.0,2010596047,2010771287,2010955431.0,2010443338,2011187575,2010374289,2010701740
104,104,1990599385.0,2010022110.0,2010859490.0,2010919474,1992141901,2010807510.0,1986487137,2010780871,2010971256,1986801739
105,105,2010934582.0,2009913482.0,2011011825.0,2011118788,1995033089,2011119855.0,1994899988,1994945232,2010981203,2011010787
106,106,2006267211.0,1981611011.0,2006579877.0,2006974803,1987647522,2001930859.0,2005012340,2007078863,1997997468,1998833784
107,107,1978050828.0,1996112710.0,1970755173.0,1996262449,2002495121,2002591009.0,1993111688,1996231509,2002552576,2002489551
108,108,2006028579.0,2006790553.0,2005633490.0,2006099280,2011106885,2011230898.0,2007579429,2005748308,2011080767,2011052233
109,109,2010838325.0,2011004846.0,2010736873.0,2009705164,2010768060,2010786798.0,2011018589,2010993278,1994438708,2010241879
110,110,2011165975.0,2010543979.0,2011017629.0,2011184607,2010960115,1995084372.0,1988370543,2011110689,2011066797,2002892272
111,111,2011024088.0,2011061424.0,1994832519.0,2011130588,2010555499,2010992815.0,2010906047,2010907640,2011120218,2010863919
112,112,2010330508.0,2010379238.0,1994932917.0,1994697540,2010062507,2010121348.0,2010269641,2010962639,1988929212,2010502754
113,113,2010520629.0,2010798855.0,2010983803.0,2011139498,2011198590,2011167608.0,2010273920,2010965539,2011198833,2010624873
114,114,2010468114.0,1997631851.0,2011069540.0,2010988751,1987801322,2011122856.0,2010287431,2010738731,2010894018,2010218312
115,115,2010959183.0,2010883583.0,2011098244.0,2010894929,2010627111,2010931478.0,2011200729,2011065541,2010809176,2010768182
116,116,2007610154.0,2006759212.0,2008162623.0,2008288580,1997985493,2001717800.0,1990079352,2008153145,1998468308,2001901596
117,117,1980487944.0,1994839094.0,1970338653.0,1970982529,2002475525,2002471902.0,1996076257,1968736113,2002308160,1984345755
118,118,2004972170.0,2006115652.0,1988224717.0,2004872897,2010920882,2010040690.0,2006982024,2004820371,2010834966,2010609691
119,119,1994743978.0,2010852916.0,2010722786.0,2010783349,1995036981,2010281970.0,2010329950,2010060151,2011092129,2010950617
120,120,2010238553.0,2010982363.0,2011105371.0,2011073862,2010953914,2004896248.0,2011125541,2011069065,2010879660,2010514389
121,121,1994739532.0,2010509048.0,2010942588.0,2009972256,2010944205,2010994523.0,2010960859,2010921022,2010759136,2010697367
122,122,2010909225.0,2010729454.0,2010905241.0,2010917881,2010695214,2011061201.0,1994863253,2010154878,2009416179,1988017819
123,123,2010692110.0,2011142654.0,2011115500.0,1990886006,2011089440,2011091481.0,2010407862,2010498176,2010378648,2011110678
124,124,1973662329.0,1981683761.0,1998664631.0,1997748579,1966352363,1967348374.0,1998604730,1982180988,1946572300,1967299078
125,125,2002565273.0,1996231557.0,1984137516.0,2002417391,2002671255,2002609128.0,2002617170,1986388387,2000329069,2002182453
126,126,2010998848.0,2010860409.0,2006989129.0,2000155940,2010106781,2010247911.0,2010716962,1989767043,2010443814,2010311815
127,127,2010542901.0,2010371657.0,2011130881.0,2011002415,2010219929,2010569133.0,2011123539,2010750185,2010070583,1994195316
128,128,2010391446.0,2009405718.0,2002546285.0,2010285685,1991923665,2010404789.0,2011019040,2010225399,1995106711,1994652216
129,129,1985705926.0,2010241937.0,2010118357.0,2010365865,2010661562,1994967568.0,1994287706,2008625368,2007778255,2011052209
130,130,1995464624.0,1956682822.0,1998691360.0,1988839444,1970115000,1967896820.0,1972619978,1982613269,1976812954,1951578275
131,131,2001560800.0,2002624758.0,2002327855.0,2002452221,1981905545,2002457426.0,2002542684,1986369691,2002156469,2002196751
132,132,2010052845.0,2010161999.0,2009459957.0,2010249956,2002121422,2010910028.0,2009959997,2010051996,2009931672,2011175538
